sample_id,SessionTime,Time,Date,Driver,LapNumber,X,Y,Z,x_aligned,x_aligned,y_aligned,y_aligned,proj_x,proj_y,s_m,s_unwrapped_m,progress,d_m,d_raw,d_smooth,d_final,w_left,w_right,track_width,left_margin,right_margin,x_ref,y_ref,ref_heading,curvature,turn_sign,tangent_x,tangent_y,normal_x,normal_y,ds_dt,dd_dt,d2d_dt2,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,DriverAhead,DistanceToDriverAhead,Status,Source
169,0 days 00:56:42.987000,0 days 00:00:34,2025-07-06 14:04:23.600,BOR,1.0,5459.347991513999,4988.383356423753,2065.9938607458057,721.3238770723088,721.3238770723088,384.30619180258657,384.30619180258657,726.4791183396105,386.0572953549057,1002.6275479559714,1002.6275479559714,0.17031778616180263,-5.4445271764437795,-5.4445271764437795,-4.015705047611762,-4.015705047611762,7.495,7.617,15.112,11.510705047611761,3.601294952388238,722.6733797264719,384.7757959839029,-1.245993543974743,0.0010577321494513235,1.0,0.31912188664477326,-0.9477136811633989,0.9477136811633989,0.31912188664477326,27.560123690940927,2.111329861739322,6.511545810285211,93.45999872,7960.7448998400005,2,0.0,True,1,637.6819752004534,0.031076789378523942,6,7.758610808888498,OnTrack,interpolation
170,0 days 00:56:43.187000,0 days 00:00:34.200000,2025-07-06 14:04:23.800,BOR,1.0,5486.295633905382,4941.804488402493,2066.0109825169325,724.0111670663462,724.0111670663462,379.67602753316487,379.67602753316487,728.1795785158088,381.1266344349192,1007.8432296236098,1007.8432296236099,0.17120378152146323,-4.41360560034857,-4.41360560034857,-3.4624300264946846,-3.4624300264946846,7.476,7.62,15.096,10.938430026494684,4.157569973505316,724.9052867308452,380.00083027997397,-1.2396275013916913,0.001489865636074593,1.0,0.3251485651205959,-0.9456629476721701,0.9456629476721701,0.3251485651205959,29.877835242379575,3.5567445429261086,6.2331011715506275,89.3249984,7612.487316266666,2,0.0,True,1,642.6525616080476,0.03131902590532556,6,6.836666417777382,OnTrack,interpolation
171,0 days 00:56:43.387000,0 days 00:00:34.400000,2025-07-06 14:04:24.000,BOR,1.0,5528.583332681334,4882.796924435916,2066.0624685944986,728.2262674235287,728.2262674235287,373.81151357682194,373.81151357682194,730.4923526003786,374.8010269885191,1014.578682052926,1014.578682052926,0.17234794253010294,-2.472706780163626,-2.472706780163626,-2.5930072304409952,-2.5930072304409952,7.421,7.679,15.100000000000001,10.014007230440995,5.085992769559005,728.0879029703395,373.8303012426339,-1.1870866928446497,0.011223549137452602,1.0,0.37436291518558684,-0.9272822697182068,0.9272822697182068,0.37436291518558684,25.69737624666841,4.60457033036014,3.5457852985712623,84.3249984,7038.3206496,2,0.0,True,1,647.3074517834596,0.03154587729392874,6,6.058888639999648,OnTrack,interpolation
172,0 days 00:56:43.587000,0 days 00:00:34.600000,2025-07-06 14:04:24.200,BOR,1.0,5551.722182186684,4854.019853545695,2065.5349904726118,730.5321891293094,730.5321891293094,370.9518279332301,370.9518279332301,731.9103690397221,371.5536268060248,1018.1221801222795,1018.1221801222796,0.17294988165263284,-1.5038423284248599,-1.5038423284248599,-1.6206018943502096,-1.6206018943502096,7.421,7.679,15.100000000000001,9.04160189435021,6.058398105649791,730.4076136368194,370.94693355650054,-1.1870866928446497,0.011223549137452602,1.0,0.37436291518558684,-0.9272822697182068,0.9272822697182068,0.37436291518558684,13.589464620358594,4.975058662354936,1.5769373676569562,80.25999872,6851.86744896,2,0.0,True,1,651.6343908691128,0.03175674631618122,6,5.488888711110722,OnTrack,interpolation
173,0 days 00:56:43.787000,0 days 00:00:34.800000,2025-07-06 14:04:24.400,BOR,1.0,5567.587802640209,4839.505362171393,2064.9894973626083,732.112572318827,732.112572318827,369.5100462811299,369.5100462811299,732.7077258633645,369.8392581310587,1020.0144679010644,1020.0144679010644,0.17327132730403222,-0.6801383562990294,-0.6801383562990294,-0.6029837655008307,-0.6029837655008307,7.094,7.428,14.522,7.696983765500831,6.825016234499169,732.1670141200262,369.5723869410183,-1.1123176925797136,0.018823813320470038,1.0,0.442584370109459,-0.896726867744473,0.896726867744473,0.442584370109459,14.381553809386814,5.235345277422349,-0.8742848683158676,76.25999872,6692.36744896,2,0.0,True,1,655.7740096934554,0.03195848647399425,6,4.933333155555121,OnTrack,interpolation
174,0 days 00:56:43.987000,0 days 00:00:35,2025-07-06 14:04:24.600,BOR,1.0,5597.892168440955,4811.9032610498525,2065.0112035875677,735.1311901424351,735.1311901424351,366.7682390532151,366.7682390532151,734.5762686411017,366.4612817382566,1023.8748016460355,1023.8748016460356,0.17392708775927762,0.634161387856945,0.634161387856945,0.4735362166192059,0.4735362166192059,7.094,7.428,14.522,6.620463783380794,7.901536216619206,735.0009012893942,366.67086146641304,-1.1123176925797136,0.018823813320470038,1.0,0.442584370109459,-0.896726867744473,0.896726867744473,0.442584370109459,21.897744364912764,4.625344715028509,-5.929526632686702,74.12999936,6416.45990912,2,0.0,True,1,659.8918346018618,0.03215916452724478,6,4.481666524443996,OnTrack,interpolation
175,0 days 00:56:44.187000,0 days 00:00:35.200000,2025-07-06 14:04:24.800,BOR,1.0,5638.7022469103895,4781.8630207557735,2064.1728943719045,739.1952996655255,739.1952996655255,363.78532195587525,363.78532195587525,737.4122682015169,362.47253561569477,1028.7735656470315,1028.7735656470315,0.1747592478582892,2.214183636604915,2.214183636604915,1.2471541205109937,1.2471541205109937,7.202,6.882,14.084,5.954845879489007,8.129154120510993,738.4619769978839,363.145963297883,-1.000393077522538,0.02584990798673428,1.0,0.5399715008056238,-0.8416833004864253,0.8416833004864253,0.5399715008056238,21.986134292037722,2.8635346243471287,-7.865136264170996,71.32857051428572,6206.9927917714285,2,0.0,True,1,663.8271680580971,0.03235094904321022,6,4.244999928888426,OnTrack,interpolation
176,0 days 00:56:44.387000,0 days 00:00:35.400000,2025-07-06 14:04:25.000,BOR,1.0,5667.93560257703,4761.007522187158,2063.740890205289,742.1064391569633,742.1064391569633,361.71454973270835,361.71454973270835,740.1036214689381,359.66711491648016,1032.6692553628527,1032.6692553628527,0.17542101428324394,2.864134776537292,2.864134776537292,1.6189500663583178,1.6189500663583178,6.673,6.939,13.612,5.054049933641682,8.557950066358318,741.3244566976335,360.73039317814903,-0.8542685520495852,0.03168960662893348,1.0,0.6567702634959063,-0.7540907246396269,0.7540907246396269,0.6567702634959063,17.55344260479602,1.4792902093593958,-4.764221301103331,68.8111104,5952.6887936,2,0.0,True,1,667.5980391675682,0.03253471865220024,6,4.082222186666184,OnTrack,interpolation
177,0 days 00:56:44.587000,0 days 00:00:35.600000,2025-07-06 14:04:25.200,BOR,1.0,5689.412684587351,4749.3893851813355,2063.9324163835513,744.2446769335295,744.2446769335295,360.5616835406769,360.5616835406769,742.4905601143879,357.6777654347044,1035.7949426889516,1035.7949426889516,0.17595197929283346,3.3754865511732373,3.3754865511732373,1.8388702042548866,1.8388702042548866,6.872,6.802,13.674,5.033129795745113,8.640870204254886,743.6214896825005,359.12774541389894,-0.6624027890346186,0.04482670734833232,1.0,0.7885167619984951,-0.6150132649361383,0.6150132649361383,0.7885167619984951,24.245016970756293,0.9578461039053628,-2.4268769117225957,66.58888817777778,5654.911015822222,2,0.0,True,1,671.2434171091679,0.032712372477934626,6,3.9711110755550467,OnTrack,interpolation
178,0 days 00:56:44.787000,0 days 00:00:35.800000,2025-07-06 14:04:25.400,BOR,1.0,5739.598976511894,4736.901081970489,2064.018608707453,749.2391566710703,749.2391566710703,359.32620420146463,359.32620420146463,748.44920180934,355.15621581536647,1042.3672621511464,1042.3672621511464,0.17706842866930553,4.24415266263655,4.24415266263655,2.0020885079201145,2.0020885079201145,6.803,7.354,14.157,4.800911492079885,9.356088507920115,749.1778821038899,357.0209901775563,-0.3725160644035845,0.07390667804251559,1.0,0.931414547764952,-0.3639600805195675,0.3639600805195675,0.931414547764952,35.79603410050918,0.5085394446712403,-3.0397407420158804,64.77499946666667,5552.1124896,2,0.0,True,1,674.8263213789469,0.03288698171213843,6,3.900833315555077,OnTrack,interpolation
