sample_id,SessionTime,Time,Date,Driver,LapNumber,X,Y,Z,x_aligned,x_aligned,y_aligned,y_aligned,proj_x,proj_y,s_m,s_unwrapped_m,progress,d_m,d_raw,d_smooth,d_final,w_left,w_right,track_width,left_margin,right_margin,x_ref,y_ref,ref_heading,curvature,turn_sign,tangent_x,tangent_y,normal_x,normal_y,ds_dt,dd_dt,d2d_dt2,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,DriverAhead,DistanceToDriverAhead,Status,Source
18,0 days 00:56:12.787000,0 days 00:00:03.800000,2025-07-06 14:03:53.400,COL,1.0,-356.9999999999999,2678.999999999998,1985.999999999999,143.0054005897892,143.0054005897892,153.7570388419984,153.7570388419984,124.59969444567972,167.06755750571392,206.7780145196456,206.77801451964558,0.03512567925319528,-22.714311034245096,-22.714311034245096,-22.714311034244965,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488083,163.1754170047562,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-2.131628207279816e-13,0.0,0.0,0.0,3640.7997056,0,0.0,False,1,0.0,,30,41.111663217777775,OnTrack,interpolation
19,0 days 00:56:12.987000,0 days 00:00:04,2025-07-06 14:03:53.600,COL,1.0,-357.0,2678.9999999999995,1985.9999999999998,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.71431103424496,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,3.552713678799693e-13,0.0,0.0,0.0,4100.7997056,0,0.0,False,1,0.0,,30,46.50055210666667,OnTrack,interpolation
20,0 days 00:56:13.187000,0 days 00:00:04.200000,2025-07-06 14:03:53.800,COL,1.0,-357.0000000000001,2679.0,1986.0,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.71431103424496,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,0.0,0.0,0.0,0.0,4042.3250624,1,0.0,False,1,0.0,,30,52.09610752000001,OnTrack,interpolation
21,0 days 00:56:13.387000,0 days 00:00:04.400000,2025-07-06 14:03:54.000,COL,1.0,-356.99999999999994,2679.0,1986.0,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.71431103424496,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,0.0,0.0,0.0,0.0,3735.31524608,1,0.0,False,1,0.0,,30,58.396662471111114,OnTrack,interpolation
22,0 days 00:56:13.587000,0 days 00:00:04.600000,2025-07-06 14:03:54.200,COL,1.0,-356.99999999999994,2678.9999999999995,1985.9999999999998,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.71431103424496,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,7.105427357607464e-14,0.0,0.0,0.0,3350.81524608,1,0.0,False,1,0.0,,30,64.95221802666667,OnTrack,interpolation
23,0 days 00:56:13.787000,0 days 00:00:04.800000,2025-07-06 14:03:54.400,COL,1.0,-357.00000000000006,2679.0000000000005,1986.0,143.00540058978913,143.00540058978913,153.75703884199862,153.75703884199862,124.5996944456798,167.06755750571403,206.77801451964575,206.77801451964575,0.035125679253195305,-22.714311034244915,-22.714311034244915,-22.714311034244947,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.17541700475633,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,2.131628207279816e-13,0.0,0.0,0.0,2225.000896,1,0.0,False,1,0.0,,30,72.07555086222222,OnTrack,interpolation
24,0 days 00:56:13.987000,0 days 00:00:05,2025-07-06 14:03:54.600,COL,1.0,-357.0,2679.000000000001,1986.0000000000005,143.00540058978913,143.00540058978913,153.75703884199868,153.75703884199868,124.59969444567983,167.06755750571406,206.7780145196458,206.7780145196458,0.03512567925319531,-22.714311034244876,-22.714311034244876,-22.714311034244947,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488095,163.17541700475635,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-4.97379915031957e-13,0.0,0.0,0.0,925.1816528,1,0.0,False,1,0.0,,30,79.70110563555555,OnTrack,interpolation
25,0 days 00:56:14.187000,0 days 00:00:05.200000,2025-07-06 14:03:54.800,COL,1.0,-356.99999999999983,2678.9999999999977,1985.9999999999998,143.0054005897892,143.0054005897892,153.75703884199834,153.75703884199834,124.59969444567969,167.06755750571386,206.77801451964555,206.77801451964555,0.03512567925319527,-22.71431103424512,-22.71431103424512,-22.714311034244943,-6.642,6.581,6.642,13.223,13.223,0.0,129.9818321548808,163.17541700475616,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,7.105427357599386e-14,0.0,0.0,0.0,295.8066528000001,1,0.0,False,1,0.0,,30,88.25666119111109,OnTrack,interpolation
26,0 days 00:56:14.387000,0 days 00:00:05.400000,2025-07-06 14:03:55.000,COL,1.0,-357.0000000000001,2679.0000000000014,1986.0,143.00540058978913,143.00540058978913,153.75703884199874,153.75703884199874,124.59969444567986,167.06755750571412,206.77801451964584,206.77801451964584,0.03512567925319532,-22.714311034244854,-22.714311034244854,-22.714311034244943,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488098,163.1754170047564,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,7.105427357599386e-14,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,30,96.85111111111111,OnTrack,interpolation
27,0 days 00:56:14.587000,0 days 00:00:05.600000,2025-07-06 14:03:55.200,COL,1.0,-357.00000000000006,2678.9999999999986,1986.0000000000002,143.00540058978913,143.00540058978913,153.75703884199845,153.75703884199845,124.59969444567973,167.06755750571392,206.7780145196456,206.77801451964558,0.03512567925319528,-22.714311034245007,-22.714311034245007,-22.714311034244943,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488086,163.1754170047562,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-2.1316282072822393e-13,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,105.75278065777778,OnTrack,interpolation
